title,simple_first_paragraph,en_first_paragraph,main_category,main_topic,ores_topics,llama_score,llama_retained,llama_lost,mistral_score,mistral_retained,mistral_lost,gemma_score,gemma_retained,gemma_lost,page_id,revid
pullenreuth,"'''Pullenreuth''' is a municipality in Tirschenreuth in Bavaria, Germany.","'''Pullenreuth''' is a municipality in the district of Tirschenreuth in Bavaria, Germany.",Geography,Geography.Regions.Europe.Europe*,"['Geography.Regions.Europe.Europe*', 'Geography.Regions.Europe.Western Europe']",83.0,"['Pullenreuth is a municipality', 'It is located in Bavaria, Germany', 'Tirschenreuth is the district where Pullenreuth is situated']",['The district of Tirschenreuth was mentioned explicitly in the original text'],100.0,"['Pullenreuth is a municipality', 'Pullenreuth is located in Tirschenreuth', 'Pullenreuth is in Bavaria, Germany']",[],100.0,"['Pullenreuth is a municipality', 'It is located in Tirschenreuth in Bavaria, Germany']",[],11592191,1035453319.0
arzl im pitztal,'''Arzl im Pitztal''' is a municipality in Imst in the Tyrol.,'''Arzl im Pitztal''' is a municipality and a town in the district of Imst in the Tyrol.,Geography,Geography.Regions.Europe.Europe*,"['Culture.Media.Television', 'Geography.Regions.Asia.Asia*', 'Geography.Regions.Asia.West Asia', 'Geography.Regions.Europe.Europe*', 'Geography.Regions.Europe.Western Europe', 'History and Society.Society']",75.0,"['Arzl im Pitztal is a municipality.', 'It is located in Imst in the Tyrol.', 'It is both a town and a municipality.', 'It is in the district of Imst.']","[""The fact that it's both a town and a municipality is not explicitly mentioned."", 'No mention of the district of Imst.']",100.0,"['Municipality', 'Location in the district of Imst', 'Location in the Tyrol']",[],80.0,['Arzl im Pitztal is a municipality in Imst in the Tyrol.'],"['It is a town', 'The municipality and town status are mentioned in the full version.']",13602006,162686951.0
borgo san siro,'''Borgo San Siro''' is a ''comune'' in the Province of Pavia in the Lombardy region in Italy.,"'''Borgo San Siro''' (Western Lombard: ''Bùrgh San Sir'') is a ''Italian region Lombardy, located about southwest of Milan and about northwest of Pavia, in the western Lomellina.",Geography,Geography.Regions.Europe.Europe*,"['Geography.Regions.Europe.Europe*', 'Geography.Regions.Europe.Southern Europe']",67.0,"['Borgo San Siro is a comune', 'It is located in the Lombardy region in Italy']","['The location relative to Milan and Pavia', 'The western Lomellina reference']",50.0,['Borgo San Siro is a comune (municipality)'],"['Borgo San Siro is located in the Italian region Lombardy, approximately southwest of Milan and northwest of Pavia, in the western Lomellina.']",80.0,"['Borgo San Siro is a comune in the Province of Pavia in the Lombardy region in Italy.', 'The location of Borgo San Siro is southwest of Milan and northwest of Pavia.']","['The region is called Western Lombard', 'The location is in the western Lomellina']",6706706,1108696458.0
list of infectious diseases,'''List of human infectious diseases''' arranged by name.,"This is a list of infectious diseases arranged by name, along with the infectious agents that cause them, the vaccines that can prevent or cure them when they exist and their current status. Some on the list are vaccinepreventable diseases.",STEM,STEM.STEM*,"['STEM.Biology', 'STEM.Medicine & Health', 'STEM.STEM*']",75.0,"['Diseases are listed by name', 'Infectious diseases are mentioned']","['Infective agents causing diseases not included', 'No information on vaccines preventing or curing diseases']",85.0,"['arranged by name', 'list of human infectious diseases']","['This is a list of infectious diseases arranged by name, along with the infectious agents that cause them, the vaccines that can prevent or cure them when they exist and their current status.', 'Some on the list are vaccine-preventable diseases']",70.0,"['List of human infectious diseases', 'Arranged by name']","['Infectious agents', 'Vaccines', 'Current status', 'Vaccinepreventable diseases']",14613,1287092962.0
gottfried honegger,"'''Gottfried Honegger''' (12 June 1917 &ndash; 17 January was a Swiss artist and graphic designer. From 1955 through 1958, he was art director at Geigy. He worked at the University of Dallas until his death in","'''Gottfried Honegger''' (12 June 1917, Zurich – 17 January 2016, Zurich) was a Swiss artist and graphic designer.",Culture,Culture.Biography.Biography*,"['Culture.Biography.Biography*', 'Culture.Visual arts.Visual arts*', 'Geography.Regions.Europe.Europe*', 'Geography.Regions.Europe.Western Europe']",70.0,"['Gottfried Honegger was a Swiss artist and graphic designer.', 'He was born on 12 June 1917 and died on 17 January', 'He worked at the University of Dallas until his death']","['The specific dates of his birth and death (12 June 1917 - 17 January) were not retained in Simple English version.', 'The fact that he was art director at Geigy from 1955 through 1958 was lost in the Simple English version.']",75.0,"['Gottfried Honegger was a Swiss artist and graphic designer.', 'Gottfried Honegger died on 17 January']","[""The exact dates of Gottfried Honegger's birth and death are given as June 12, 1917, and January 17, 2016, respectively."", 'From 1955 through 1958, he was art director at Geigy.']",80.0,"['Gottfried Honegger was a Swiss artist and graphic designer.', 'He was art director at Geigy from 1955 through 1958.']","['Born in Zurich in 1917', 'Worked at the University of Dallas until his death']",7740855,1245384537.0
subsidy,A '''subsidy''' is a sum of money given by the public body to help an industry or business to keep the price of a commodity or service low.,"A '''subsidy''', '''subvention''' or '''government incentive''' is a type of government expenditure for individuals and households, as well as businesses with the aim of stabilizing the economy. It ensures that individuals and households are viable by having access to essential goods and services while giving businesses the opportunity to stay afloat and/or competitive. Subsidies not only promote long term economic stability but also help governments to respond to economic shocks during a recession or in response to unforeseen shocks, such as the COVID19 pandemic.",STEM,STEM.STEM*,"['History and Society.Business and economics', 'History and Society.Politics and government', 'History and Society.Society', 'STEM.STEM*']",60.0,"['A subsidy is a type of government expenditure.', 'The aim of subsidies is to promote long-term economic stability.', 'Subsidies help governments respond to economic shocks.']","['Subsidies can stabilize the economy by ensuring access to essential goods and services for individuals and households.', 'Subsidies give businesses the opportunity to stay afloat or become competitive.', 'The COVID-19 pandemic is mentioned as an example of unforeseen shock that subsidies help governments respond to.']",50.0,"['Subsidies promote long term economic stability.', 'Subsidies help governments to respond to economic shocks.']","['A subsidy is a type of government expenditure for individuals and households, as well as businesses.', 'Subsidies ensure that individuals and households are viable by having access to essential goods and services.', 'Subsidies give businesses the opportunity to stay afloat and/or competitive.', 'Subsidies also help governments to respond to economic shocks during a recession or in response to unforeseen shocks, such as the COVID19 pandemic.', 'Subsidies not only promote long term economic stability but also serve to lower the price of commodities or services.']",66.0,"['A subsidy is a sum of money given by the public body.', 'It helps to keep the price of a commodity or service low.']","['A subsidy is a type of government expenditure.', 'It promotes long term economic stability and helps governments respond to economic shocks.', 'It ensures that individuals and households have access to essential goods and services while giving businesses the opportunity to stay afloat and/or competitive.']",146719,1284807367.0
hermann hesse,"'''Hermann Hesse''' (2 July 1877 – 9 August was a GermanSwiss poet, novelist, and painter. In 1946, he received the Steppenwolf'', ''Siddhartha'', and ''The Glass Bead Game'' (also known as ''Magister Ludi'').","'''Hermann Karl Hesse''' (; 2 July 1877 – 9 August was a GermanSwiss poet, novelist, and painter. Although Hesse was born in Germany's Baltic German and his grandmother's FrenchSwiss roots had an intellectual influence on him. He was a precocious, if not difficult child, who shared a passion for poetry and music with his mother, and was especially wellread and cultured, due in part to the influence of his polyglot grandfather.",Culture,Culture.Biography.Biography*,"['Culture.Biography.Biography*', 'Culture.Literature', 'Culture.Philosophy and religion', 'Geography.Regions.Europe.Europe*', 'Geography.Regions.Europe.Western Europe']",60.0,"[""Hermann Hesse's birthdate (2 July 1877) and death date (9 August)"", 'His profession as a poet, novelist, and painter', 'His nationality as German-Swiss']","[""Information about Hesse's intellectual influence from his Baltic German heritage and grandmother's French-Swiss roots"", ""Description of Hesse's childhood, including being a precocious child who shared a passion for poetry and music with his mother"", ""Details about Hesse's cultural upbringing due to the influence of his polyglot grandfather""]",75.0,"['Hermann Hesse was a German-Swiss poet, novelist, and painter.', 'He received the Nobel Prize in Literature in 1946.']","['Hermann Karl Hesse (July 2, 1877 – August 9) is a precise date range.', ""His birthplace was Germany's Baltic region."", 'He shared a passion for poetry and music with his mother.', 'He was especially well-read and cultured due to the influence of his polyglot grandfather.']",80.0,"['Hermann Hesse was a GermanSwiss poet, novelist, and painter.', ""He was born in Germany's Baltic German region.""]","[""His grandmother's FrenchSwiss roots had an intellectual influence on him."", 'He was a precocious child.', 'He shared a passion for poetry and music with his mother.', 'He was especially wellread and cultured due to the influence of his polyglot grandfather.', 'In 1946, he received the Steppenwolf, Siddhartha, and The Glass Bead Game (also known as Magister Ludi).']",13578,1287107172.0
alana de la garza,"'''Alana de la Garza''' (born June 18, is an American actress. She is known for her roles as Connie Rubirosa on the NBC television series ''FBI'' and ''FBI: Most Wanted''.","'''Alana de la Garza''' (born June 18, is an American actress. She is known for her roles as Marisol DelkoCaine on ''Forever''. From 2016 to 2017, she starred in ''Special Agent Clara Seger. In 2019, she began starring as SAC Isobel Castille on ''FBI'', a role she also plays on the spinoff series ''FBI: Most Wanted''.",Culture,Culture.Biography.Biography*,"['Culture.Biography.Biography*', 'Culture.Biography.Women', 'Geography.Regions.Americas.North America']",67.0,"['Alana de la Garza is an American actress', 'She is known for her roles on television series']","[""Her role as Marisol DelkoCaine on 'Forever'"", ""Her role in 'Special Agent Clara Seger' from 2016 to 2017"", ""Her role as SAC Isobel Castille on 'FBI'"", ""She also plays the same role on the spinoff series 'FBI: Most Wanted'""]",75.0,"['She is an American actress.', 'She is known for her roles in different TV series.']","['Her birth year.', ""She played Marisol DelkoCaine on 'Forever'."", ""From 2016 to 2017, she starred in 'Special Agent Clara Seger'."", ""In 2019, she began starring as SAC Isobel Castille on 'FBI'"", ""She plays the same role (SAC Isobel Castille) on the spinoff series 'FBI: Most Wanted'.""]",80.0,"['Born date: June 18', 'Nationality: American', 'Known for roles on FBI and FBI: Most Wanted']","['Known for roles on Forever and Special Agent Clara Seger', 'Role in the series Forever']",2062331,1260115274.0
jessie smith (singer),"'''Jessie Smith''' (1941 – February 4, was an American R&B singer. She began her career singing with musician Benny Sharp, recording as '''Little Miss Jessie'''.","'''Jessie Smith''' (November 28, 1941 – February 4, was an American R&B vocalist. She began her career singing with musician Benny Sharp, recording as '''Little Miss Jessie''', and became best known as one of the original Paul Williams, Al Kooper, José Feliciano, and Leon Ware.",Culture,Culture.Biography.Biography*,"['Culture.Biography.Biography*', 'Culture.Biography.Women', 'Culture.Media.Media*', 'Culture.Media.Music', 'Geography.Regions.Americas.North America']",67.0,"['Jessie Smith was an American R&B singer.', 'She began her career singing with musician Benny Sharp.', ""She recorded as 'Little Miss Jessie'.""]","[""Jessie Smith's birthdate: November 28, 1941"", ""Jessie Smith's death date: February 4 (exact year not specified in Simple English version)"", 'Jessie Smith was part of a group with other musicians including Paul Williams, Al Kooper, José Feliciano, and Leon Ware']",87.5,"['American R&B singer', 'She began her career singing with musician Benny Sharp', ""Recording as 'Little Miss Jessie'""]","['Date of birth (November 28, 1941)', 'Date of death (February 4)', 'Best known as one of the original Paul Williams, Al Kooper, José Feliciano, and Leon Ware']",80.0,"['Jessie Smith was an American R&B singer.', 'She began her career singing with musician Benny Sharp, recording as Little Miss Jessie.']","['Became best known as one of the original Paul Williams, Al Kooper, José Feliciano, and Leon Ware.', 'Born on November 28, 1941']",62823894,1250154563.0
kyriakos mitsotakis,"'''Kyriakos Mitsotakis''' (; born 4 March is a Greek New Democracy party. He briefly left office in May He returned to office on 26 June 2023, after winning the general election.","'''Kyriakos Mitsotakis''' (, ; born 4 March is a Greek politician currently serving as the New Democracy party since He is generally associated with the economically liberal policies.",Culture,Culture.Biography.Biography*,"['Culture.Biography.Biography*', 'Geography.Regions.Europe.Europe*', 'Geography.Regions.Europe.Southern Europe', 'History and Society.Politics and government']",70.0,"['Kyriakos Mitsotakis is a Greek politician', 'He serves as the leader of New Democracy party', 'He was born on 4 March']","['His association with economically liberal policies', 'The specific date of his departure from office (May [year])', 'His return to office after winning the general election (26 June 2023)']",75.0,"['Kyriakos Mitsotakis is a Greek politician', 'Kyriakos Mitsotakis is currently serving as the New Democracy party']","['Kyriakos Mitsotakis was born on 4 March', 'Kyriakos Mitsotakis is generally associated with economically liberal policies', 'Kyriakos Mitsotakis briefly left office in May 2023', 'Kyriakos Mitsotakis returned to office on 26 June 2023, after winning the general election']",80.0,"['Born on 4 March', 'Greek politician', 'New Democracy party']","['Economically liberal policies', 'Briefly left office in May', 'Won the general election']",2780816,1288605624.0
zhangixalus schlegelii,"The '''Japanese flying frog''', '''Schlegel's green tree frog''', '''Schlegel's flying frog''', or '''Schlegel's tree frog''' (''Zhangixalus schlegelii'') is a frog. It lives in Japan. It lives on three of Japan's large islands, Honshu, Shikoku, Kyushu, and on the smaller Ryukyu Island.","'''''Zhangixalus schlegelii''''' (common names: '''Japanese gliding frog''', '''Schlegel's green tree frog''', '''Schlegel's flying frog''', '''Schlegel's tree frog''') is a species of frog in the family Rhacophoridae.",STEM,STEM.STEM*,"['STEM.Biology', 'STEM.STEM*']",71.43,"[""The species name 'Zhangixalus schlegelii' is retained"", 'Common names are retained', ""It's a type of frog"", 'Location: Japan', 'Specific islands where found: Honshu, Shikoku, Kyushu, and Ryukyu Island']","['Family information: Rhacophoridae', 'Detailed/Specific characteristics, habits, or ecology']",75.0,"['It is a species of frog', 'It lives in Japan']","['Its family is Rhacophoridae', ""It lives on three of Japan's large islands, Honshu, Shikoku, Kyushu, and on the smaller Ryukyu Island""]",80.0,"[""The Japanese flying frog is known as Schlegel's green tree frog, Schlegel's flying frog, or Schlegel's tree frog."", 'It lives in Japan.']","['Scientific name: Zhangixalus schlegelii', 'Family: Rhacophoridae', ""Habitat: Lives on three of Japan's large islands, Honshu, Shikoku, Kyushu, and on the smaller Ryukyu Island.""]",12411779,1085840708.0
gesunda,"'''Gesunda''' is a locality in Mora Municipality in Dalarna County in Sweden. In 2010, 229 people lived there.","'''Gesunda''' is a locality situated in Mora Municipality, Dalarna County, Sweden with 229 inhabitants in",Geography,Geography.Regions.Europe.Europe*,"['Geography.Regions.Europe.Europe*', 'Geography.Regions.Europe.Northern Europe']",71.0,"['Gesunda is a locality', 'It is situated in Mora Municipality', 'It is located in Dalarna County, Sweden', '229 people lived there (in 2010)']",['The exact number of inhabitants is not specified in the Simple English version'],100.0,"['Gesunda is a locality in Mora Municipality in Dalarna County in Sweden.', 'In 2010, 229 people lived there.']",[],85.0,"['Locality name: Gesunda', 'Municipality: Mora Municipality', 'County: Dalarna County', 'Country: Sweden']","['Number of inhabitants: 229', 'Year of population data: 2010']",22702936,1286020848.0
paul d. mcgowan,"'''Paul D. McGowan''' (1947 – July 28, was an American politician from Democrat, McGowan was elected to the Maine House of Representatives in","'''Paul Donald McGowan''' (April 8, 1947 – July 28, was an American politician from Democrat, McGowan was elected to the Cape Neddick neighborhood of York, Maine. In the Maine Legislature, McGowan was a member of the Environment and Natural Resources Committee and helped pass a signature cancerrelated bill during his only term.",Culture,Culture.Biography.Biography*,"['Culture.Biography.Biography*', 'Geography.Regions.Americas.North America']",67.0,"['Died on July 28', 'Was an American politician from Democrat', 'Elected to a legislative body (House or Representatives)']","['Cape Neddick neighborhood of York, Maine', 'Environment and Natural Resources Committee', 'Signature cancer-related bill during his only term']",50.0,"['Paul D. McGowan was an American politician from Democrat', 'McGowan was elected to the Maine House of Representatives']","['Paul Donald McGowan (April 8, 1947 – July 28)', 'McGowan was elected to the Cape Neddick neighborhood of York, Maine', 'In the Maine Legislature, McGowan was a member of the Environment and Natural Resources Committee', 'McGowan helped pass a signature cancer-related bill during his only term']",80.0,"['Name: Paul D. McGowan', 'Elected office: Maine House of Representatives', 'Political affiliation: Democrat']","['Served on committee: Environment and Natural Resources Committee', 'Passage of cancer-related bill']",38949875,1286514924.0
